Name,B,F,Var,HD,HIP,RA,Dec,vis.mag.,abs.mag.,Dist. (ly),Sp. class,Notes,,ORDER tracé edges,RA2 h str,RA2 h nb,RA2 mn str,RA2 mn nb,RA2 sec str,RA2 sec nb,Dec2 h str,Dec2 h nb,Dec2 mn str,Dec2 mn nb,Dec2 sec str,Dec2 sec nb,RA2 h.,Dec2 deg.
ET UMa,,,ET,89822,50933,10h 24m 07.86s,+65° 33′ 59.3″,4.94,0.12,301,A0sp...,α² CVn variable,,,10,10, 24,24, 07.86,7.86,+65,65, 33,33, 59.3,59.3,10.4021833333333,65.5664722222222
,,,,92523,52425,10h 43m 04.04s,+69° 04′ 34.5″,4.99,−0.57,426,K3III,,,,10,10, 43,43, 04.04,4.04,+69,69, 04,4, 34.5,34.5,10.7177888888889,69.07625
46 UMa,,46,,94600,53426,10h 55m 44.46s,+33° 30′ 25.2″,5.03,0.64,245,K1III,,,,10,10, 55,55, 44.46,44.46,+33,33, 30,30, 25.2,25.2,10.9290166666667,33.507
56 UMa,,56,,98839,55560,11h 22m 49.61s,+43° 28′ 57.9″,5.03,−0.90,492,G8II,,,,11,11, 22,22, 49.61,49.61,+43,43, 28,28, 57.9,57.9,11.3804472222222,43.48275
47 UMa,,47,,95128,53721,10h 59m 28.22s,+40° 25′ 48.4″,5.03,4.29,46,G0V,"Chalawan,[1] has three planets (b, c & d)",,,10,10, 59,59, 28.22,28.22,+40,40, 25,25, 48.4,48.4,10.9911722222222,40.4301111111111
49 UMa,,49,,95310,53838,11h 00m 50.48s,+39° 12′ 43.7″,5.06,−0.40,403,Am,,,,11,11, 00,0, 50.48,50.48,+39,39, 12,12, 43.7,43.7,11.0140222222222,39.2121388888889
15 LMi,,-15,,84737,48113,09h 48m 35.18s,+46° 01′ 16.4″,5.08,3.75,60,G2V,,,,09,9, 48,48, 35.18,35.18,+46,46, 01,1, 16.4,16.4,9.80977222222222,46.0212222222222
44 UMa,,44,,94247,53261,10h 53m 34.52s,+54° 35′ 06.5″,5.11,−1.46,676,K3III,,,,10,10, 53,53, 34.52,34.52,+54,54, 35,35, 06.5,6.5,10.8929222222222,54.5851388888889
38 UMa,,38,,92424,52353,10h 41m 56.78s,+65° 42′ 59.3″,5.12,0.94,224,K2IIIvar,,,,10,10, 41,41, 56.78,56.78,+65,65, 42,42, 59.3,59.3,10.6991055555556,65.7164722222222
σ1 UMa,σ1,11,,77800,44857,09h 08m 23.53s,+66° 52′ 24.0″,5.14,−0.77,498,K5III,,,,09,9, 08,8, 23.53,23.53,+66,66, 52,52, 24.0,24,9.13986944444445,66.8733333333333
27 UMa,,27,,83506,47654,09h 42m 57.24s,+72° 15′ 09.7″,5.15,−0.51,442,K0III,,,,09,9, 42,42, 57.24,57.24,+72,72, 15,15, 09.7,9.7,9.7159,72.2526944444444
37 UMa,,37,,91480,51814,10h 35m 09.62s,+57° 04′ 57.2″,5.16,3.05,86,F1V,,,,10,10, 35,35, 09.62,9.62,+57,57, 04,4, 57.2,57.2,10.5860055555556,57.0825555555556
16 UMa,c,16,,79028,45333,09h 14m 20.55s,+61° 25′ 24.2″,5.18,3.72,64,F9V,,,,09,9, 14,14, 20.55,20.55,+61,61, 25,25, 24.2,24.2,9.23904166666667,61.4233888888889
,,,,92787,52469,10h 43m 33.12s,+46° 12′ 14.5″,5.18,2.42,116,F5III,,,,10,10, 43,43, 33.12,33.12,+46,46, 12,12, 14.5,14.5,10.7258666666667,46.2040277777778
44 Lyn,,-44,,84335,47965,09h 46m 31.66s,+57° 07′ 40.8″,5.2,−1.07,556,M3III,,,,09,9, 46,46, 31.66,31.66,+57,57, 07,7, 40.8,40.8,9.77546111111111,57.128
67 UMa,,67,DP,104513,58684,12h 02m 07.06s,+43° 02′ 43.7″,5.22,2.57,111,A7m,DP UMa; δ Sct variable,,,12,12, 02,2, 07.06,7.06,+43,43, 02,2, 43.7,43.7,12.0352944444444,43.0454722222222
31 UMa,,31,SY,85795,48682,09h 55m 43.01s,+49° 49′ 11.3″,5.27,1.1,223,A3III,SY UMa,,,09,9, 55,55, 43.01,43.01,+49,49, 49,49, 11.3,11.3,9.92861388888889,49.8198055555556
,,,,102328,57477,11h 46m 55.61s,+55° 37′ 41.8″,5.27,1.26,206,K3III,,,,11,11, 46,46, 55.61,55.61,+55,55, 37,37, 41.8,41.8,11.7821138888889,55.6282777777778
17 UMa,,17,,79354,45455,09h 15m 49.81s,+56° 44′ 29.3″,5.28,−1.32,681,K5III,,,,09,9, 15,15, 49.81,49.81,+56,56, 44,44, 29.3,29.3,9.26383611111111,56.7414722222222
57 UMa,,57,,99787,56034,11h 29m 04.16s,+39° 20′ 13.0″,5.3,1.26,209,A2V,,,,11,11, 29,29, 04.16,4.16,+39,39, 20,20, 13.0,13,11.4844888888889,39.3369444444445
61 UMa,,61,,101501,56997,11h 41m 03.03s,+34° 12′ 09.2″,5.31,5.41,31,G8Vvar,,,,11,11, 41,41, 03.03,3.03,+34,34, 12,12, 09.2,9.2,11.684175,34.2025555555556
55 Cam,,-55,,67447,40215,08h 12m 48.79s,+68° 28′ 26.6″,5.34,−2.22,1062,G8II,,,,08,8, 12,12, 48.79,48.79,+68,68, 28,28, 26.6,26.6,8.21355277777778,68.4740555555556
74 UMa,,74,,108844,60978,12h 29m 57.40s,+58° 24′ 19.9″,5.37,0.74,274,A5e...,,,,12,12, 29,29, 57.40,57.4,+58,58, 24,24, 19.9,19.9,12.4992777777778,58.4055277777778
,,,,117376,65728,13h 28m 27.18s,+59° 56′ 44.5″,5.4,1.1,236,A1Vn,,,,13,13, 28,28, 27.18,27.18,+59,59, 56,56, 44.5,44.5,13.4742166666667,59.9456944444444
41 Lyn,,-41,,81688,46471,09h 28m 39.99s,+45° 36′ 06.5″,5.41,0.68,288,K0III-IV,"Intercrus,[1] has a planet (b)",,,09,9, 28,28, 39.99,39.99,+45,45, 36,36, 06.5,6.5,9.477775,45.6018055555556
,,,,100203,56290,11h 32m 20.76s,+61° 04′ 57.9″,5.46,3.26,90,F6V,,,,11,11, 32,32, 20.76,20.76,+61,61, 04,4, 57.9,57.9,11.5391,61.08275
82 UMa,,82,,119024,66634,13h 39m 30.58s,+52° 55′ 15.9″,5.46,1.88,169,A3Vn,,,,13,13, 39,39, 30.58,30.58,+52,52, 55,55, 15.9,15.9,13.6584944444444,52.9210833333333
2 UMa,A,2,,72037,42080,08h 34m 36.19s,+65° 08′ 43.0″,5.47,2.04,158,A2m,,,,08,8, 34,34, 36.19,36.19,+65,65, 08,8, 43.0,43,8.57671944444445,65.1452777777778
,,,,95212,53781,11h 00m 14.70s,+45° 31′ 34.6″,5.47,−1.69,881,K5III,,,,11,11, 00,0, 14.70,14.7,+45,45, 31,31, 34.6,34.6,11.0040833333333,45.5262777777778
,,,,77601,44613,09h 05m 24.11s,+48° 31′ 49.3″,5.48,0.34,348,F6II-III,,,,09,9, 05,5, 24.11,24.11,+48,48, 31,31, 49.3,49.3,9.09003055555556,48.5303611111111
,,,,86378,49005,09h 59m 51.72s,+56° 48′ 42.8″,5.5,−0.47,510,K5III,,,,09,9, 59,59, 51.72,51.72,+56,56, 48,48, 42.8,42.8,9.9977,56.8118888888889
70 UMa,,70,,107465,60212,12h 20m 50.83s,+57° 51′ 51.4″,5.54,−1.12,701,K5III,,,,12,12, 20,20, 50.83,50.83,+57,57, 51,51, 51.4,51.4,12.3474527777778,57.8642777777778
